"","...1","ID","net_inc_percap2019","net_inc2019","plr","year","Nom","udc","pdc","ps","pes","pvl","pbd","pev_pcs","perc","dec","taux_participation"
"1984",1984,551,32144,203,8.8,2019,"Urtenen-Schönbühl",29.7,2.2,17.1,9.8,11,10.2,6.3,34,4,40.7
"1985",1985,198,42289,1480,11.8,2019,"Uster",24.6,3.7,17.4,16.5,15.4,2.2,4.2,80,9,48.7
"1986",1986,885,36311,77,6.3,2019,"Uttigen",35.8,1,13.2,10.1,10.2,8.2,7.3,59,6,52.6
"1987",1987,4451,45592,86,18.2,2019,"Uttwil",38.4,8.9,11.8,11.9,7.4,0.8,1,87,9,46.6
"1988",1988,552,33871,148,6.2,2019,"Utzenstorf",37.6,1.3,16.3,10.4,9.8,12.3,1.9,44,5,46.2
"1989",1989,3339,30857,200,17.3,2019,"Uznach",28.3,19.1,11.6,13,7.4,0.7,0.8,26,3,38.6
"1990",1990,3408,30697,403,14.1,2019,"Uzwil",33.3,20.7,12.4,8.9,6.2,0.9,1.4,25,3,38.3
"1991",1991,5268,37918,128,16.6,2019,"Vacallo",8.4,21.5,16.1,9.9,0.6,NA,NA,67,7,55.8
"1992",1992,3847,30152,43,8.3,2019,"Val Müstair",34.6,20.2,12.7,5.1,5.7,13.4,NA,22,3,43.5
"1993",1993,6730,29253,94,3.4,2019,"Val Terbi",15.8,23.2,27.9,15.9,NA,NA,13.7,17,2,37.6
"1994",1994,6157,30908,63,21.9,2019,"Val-d'Illiez",31.6,27.7,7.5,9.4,0.5,NA,0.3,26,3,54.9
"1995",1995,2163,36228,92,21.4,2019,"Val-de-Charmey",18.7,27.5,13.8,9.1,2.3,0.1,2.2,58,6,47.5
"1996",1996,6487,33406,568,24.6,2019,"Val-de-Ruz",15.1,4.5,14,21.9,9.1,NA,NA,41,5,41.7
"1997",1997,6512,27520,294,26.1,2019,"Val-de-Travers",21.1,3.1,17.1,15.7,6.1,NA,NA,9,1,32.9
"1998",1998,6485,26655,14,20.8,2019,"Valangin",11,2.2,33.5,14.5,5.7,NA,NA,7,1,44.9
"1999",1999,717,29111,117,7.4,2019,"Valbirse",36.1,6.4,19.9,9.3,3.4,2.3,4.3,16,2,38.5
"2000",2000,5831,28902,95,26.4,2019,"Valbroye",30.1,2.3,15.7,12.6,6.5,0.6,1.8,15,2,42.3
"2001",2001,5933,38346,27,18.6,2019,"Valeyres-sous-Montagny",23.1,0.6,19.7,20.1,5.8,0.6,2.7,68,7,44.1
"2002",2002,5763,37868,23,25.8,2019,"Valeyres-sous-Rances",27.1,1.4,13.6,15.4,10.9,1.1,0.7,66,7,49
"2003",2003,5934,39395,9,12,2019,"Valeyres-sous-Ursins",31.5,0.9,14.6,19.5,7.4,0.7,4.3,72,8,56.5
"2004",2004,2045,34452,16,14.8,2019,"Vallon",22.5,9.8,32.6,9.8,4.2,0,3.4,47,5,36.9
"2005",2005,5764,25922,99,28,2019,"Vallorbe",25.2,1.4,23.7,10.6,3,0.3,1.3,5,1,36.8
"2006",2006,3603,29193,29,6,2019,"Vals",16.6,46.2,7,4.2,3.1,16.9,NA,16,2,43.4
"2007",2007,3764,27196,23,10.8,2019,"Valsot",29,7.9,20.6,9.2,6.7,15.8,NA,9,1,40.1
"2008",2008,6642,110297,284,42,2019,"Vandoeuvres",18.9,3.6,4.2,16.8,6,0.5,0.2,100,10,52.4
"2009",2009,6116,28045,18,1.4,2019,"Varen",24.2,61.6,6.9,5.1,0.1,NA,0.2,12,2,60
"2010",2010,5765,28953,14,30.6,2019,"Vaulion",28.8,0.5,14.3,12,3.2,0.3,2.3,15,2,42.3
"2011",2011,2155,32649,35,22.7,2019,"Vaulruz",22.7,23.8,13.5,8.1,3,0,3.6,37,4,48.1
"2012",2012,5650,452633,89,22.7,2019,"Vaux-sur-Morges",23.1,1.1,12.6,13.7,23.8,0.3,0.3,100,10,68.5
"2013",2013,3506,43045,120,27.3,2019,"Vaz/Obervaz",29.1,16.7,8.5,4,7.2,7.1,NA,82,9,47.6
"2014",2014,359,39134,209,10.9,2019,"Vechigen",30.7,1.7,13.6,12.1,11.4,9.5,4.5,71,8,54.5
"2015",2015,4120,35037,53,12.3,2019,"Veltheim (AG)",37.1,7,15.6,9.4,7,3,5,52,6,42.8
"2016",2016,6806,28357,16,19.1,2019,"Vendlincourt",21.2,22.8,17.9,9.3,NA,NA,9.8,13,2,44.2
"2017",2017,6249,40992,53,26.1,2019,"Venthône",11.6,16.6,24.1,19,0.8,NA,0.6,77,8,66.6
"2018",2018,5230,50706,30,24.2,2019,"Vernate",13,12.4,13.5,12.5,5.1,NA,NA,91,10,44.6
"2019",2019,6219,25905,49,22.6,2019,"Vernayaz",10.7,32.2,21.7,9.8,0.2,NA,1.1,5,1,51
"2020",2020,6643,26158,914,9.6,2019,"Vernier",15.7,5.9,21.1,21.3,3.7,0.4,1.1,6,1,33.3
